Region,Scheme,Year,Sum of Cost ($m),Sum of WATERDELIVERED (ML),$/ML,Band,
South,Upper Condamine Supply,2022,-4.35441209,4676.134,-931.1991679,RED,
South,Upper Condamine Supply,2020,-2.762903692,5333.795,-517.9996029,RED,
Central,Nogoa Mackenzie,2021,-8.36096614,96693.12,-86.46909046,RED,
South,Macintyre Rock,2019,-0.05815776,1048.708,-55.45658086,RED,
North,Pioneer River,2022,-0.91937798,18115.243,-50.75162282,RED,
Brisbane,Non-Scheme,2019,51.88890965,0,0,RED,
Brisbane,Non-Scheme,2020,103.4359829,0,0,RED,
Brisbane,Non-Scheme,2021,30.54526424,0,0,RED,
Brisbane,Non-Scheme,2022,95.13993739,0,0,RED,
Brisbane,Non-Scheme,2023,94.10356362,0,0,RED,
Burnett and Lower Mary,Burnett Water PL,2019,4.35018209,0,0,RED,
Burnett and Lower Mary,Burnett Water PL,2020,55.29522743,0,0,RED,
Burnett and Lower Mary,Burnett Water PL,2021,39.77437913,0,0,RED,
Burnett and Lower Mary,Burnett Water PL,2022,21.64504259,0,0,RED,
Burnett and Lower Mary,Burnett Water PL,2023,19.84163717,0,0,RED,
Burnett and Lower Mary,Burnett Water PL (Subsidiary),2019,2.91019341,0,0,RED,
Burnett and Lower Mary,Burnett Water PL (Subsidiary),2020,-16.87061628,0,0,RED,
Burnett and Lower Mary,Burnett Water PL (Subsidiary),2021,45.7281498,0,0,RED,
Burnett and Lower Mary,Burnett Water PL (Subsidiary),2022,0.68765091,0,0,RED,
Burnett and Lower Mary,Burnett Water PL (Subsidiary),2023,0.65232069,0,0,RED,
Burnett and Lower Mary,Non-Scheme,2019,3.22106632,0,0,RED,
Burnett and Lower Mary,Non-Scheme,2020,6.93669153,0,0,RED,
Burnett and Lower Mary,Non-Scheme,2021,6.69733322,0,0,RED,
Burnett and Lower Mary,Non-Scheme,2022,8.09301168,0,0,RED,
Burnett and Lower Mary,Non-Scheme,2023,7.48000511,0,0,RED,
Central,[BLANK],2019,0,3625.679,0,RED,
Central,[BLANK],2020,0,5334.82,0,RED,
Central,[BLANK],2021,0,5770.17,0,RED,
Central,[BLANK],2022,0,4534.28,0,RED,
Central,Eungella Water PL (External),2019,1.07747191,0,0,RED,
Central,Eungella Water PL (External),2020,1.52774492,0,0,RED,
Central,Eungella Water PL (External),2021,0.88774071,0,0,RED,
Central,Eungella Water PL (External),2022,0.73529056,0,0,RED,
Central,Eungella Water PL (External),2023,0.76140693,0,0,RED,
Central,Eungella Water PL (Subsidiary),2019,5.68873147,0,0,RED,
Central,Eungella Water PL (Subsidiary),2020,7.77925115,0,0,RED,
Central,Eungella Water PL (Subsidiary),2021,6.41371477,0,0,RED,
Central,Eungella Water PL (Subsidiary),2022,6.52819101,0,0,RED,
Central,Eungella Water PL (Subsidiary),2023,5.17593813,0,0,RED,
Central,Non-Scheme,2019,16.07582234,0,0,RED,
Central,Non-Scheme,2020,65.12124092,0,0,RED,
Central,Non-Scheme,2021,137.9140786,0,0,RED,
Central,Non-Scheme,2022,27.53301298,0,0,RED,
Central,Non-Scheme,2023,204.1595896,0,0,RED,
North,[BLANK],2023,0.05654475,0,0,RED,
North,Non-Scheme,2019,5.0328978,0,0,RED,
North,Non-Scheme,2020,10.88127043,0,0,RED,
North,Non-Scheme,2021,9.54376787,0,0,RED,
North,Non-Scheme,2022,11.23931547,0,0,RED,
North,Non-Scheme,2023,9.95426262,0,0,RED,
North,North-West Pipeline PL (External),2019,0.63462398,0,0,RED,
North,North-West Pipeline PL (External),2020,0.95887652,0,0,RED,
North,North-West Pipeline PL (External),2021,1.10965885,0,0,RED,
North,North-West Pipeline PL (External),2022,1.12900418,0,0,RED,
North,North-West Pipeline PL (External),2023,0.93955345,0,0,RED,
North,North-West Queensland Water PL (Subsidiary),2019,4.05406566,0,0,RED,
North,North-West Queensland Water PL (Subsidiary),2020,6.3190621,0,0,RED,
North,North-West Queensland Water PL (Subsidiary),2021,4.60541268,0,0,RED,
North,North-West Queensland Water PL (Subsidiary),2022,4.92925426,0,0,RED,
North,North-West Queensland Water PL (Subsidiary),2023,3.7813747,0,0,RED,
South,Maranoa River,2019,0.00321088,0,0,RED,
South,Maranoa River,2020,0.00704178,0,0,RED,
South,Maranoa River,2021,0.02134432,0,0,RED,
South,Maranoa River,2022,0.00402542,0,0,RED,
South,Maranoa River,2023,0.00592879,0,0,RED,
South,Non-Scheme,2019,2.14520743,0,0,RED,
South,Non-Scheme,2020,4.04750512,0,0,RED,
South,Non-Scheme,2021,3.97000052,0,0,RED,
South,Non-Scheme,2022,3.53273045,0,0,RED,
South,Non-Scheme,2023,3.23183795,0,0,RED,
North,Pioneer River,2019,0.00779605,18104.272,0.430619359,GREEN,
South,Cunnamulla,2020,0.00194279,1180.954,1.64510218,GREEN,
South,Cunnamulla,2019,0.00158135,701.668,2.253701181,GREEN,
Burnett and Lower Mary,Barker Barambah,2023,0.40448595,116000.117,3.486944328,GREEN,
Central,Callide Valley,2019,0.04979923,9902.568,5.028920781,GREEN,
Burnett and Lower Mary,Barker Barambah,2020,0.05944395,10305.72,5.768054052,GREEN,
South,St George,2019,0.11607158,16281.57,7.129016428,GREEN,
North,Mareeba Dimbulah,2019,1.11405795,116743.441,9.542788361,GREEN,
South,St George,2022,0.64307968,60568.466,10.61740081,GREEN,
North,Proserpine River,2019,0.23244464,21641.496,10.74069186,GREEN,
Burnett and Lower Mary,Upper Burnett Supply,2019,0.16667706,15171.961,10.98586135,GREEN,
South,St George,2021,1.17488564,82966.066,14.16103832,GREEN,
North,Proserpine River,2020,0.56064429,27249.666,20.57435456,GREEN,
South,Cunnamulla,2021,0.04503325,1965.467,22.91223918,GREEN,
North,Pioneer River,2020,0.53484431,22762.305,23.496931,GREEN,
South,St George,2023,1.33580148,55281.449,24.1636481,GREEN,
Central,[BLANK],2023,0.13500342,5372.33,25.12939823,GREEN,
Burnett and Lower Mary,Upper Burnett Supply,2020,0.61467748,23754.221,25.87655811,GREEN,
Central,Nogoa Mackenzie,2023,2.74042883,102617.333,26.70532112,GREEN,
North,Mareeba Dimbulah,2021,3.30213858,114185.32,28.91911657,GREEN,
Burnett and Lower Mary,Three Moon Creek,2019,0.15637723,5386.942,29.02894258,GREEN,
South,Border Rivers,2023,1.15523659,37535.046,30.7775456,GREEN,
North,Burdekin Haughton,2019,14.9278737,411464.67,36.27984318,GREEN,
Burnett and Lower Mary,Upper Burnett Supply,2021,0.70257111,18750.06,37.47033929,GREEN,
Burnett and Lower Mary,Lower Mary River,2019,0.29050918,7729.131,37.58626681,GREEN,
Burnett and Lower Mary,Upper Burnett Supply,2023,0.61163091,15271.12,40.05147691,GREEN,
Burnett and Lower Mary,Bundaberg,2020,10.67437669,264773.48,40.31512782,GREEN,
North,Proserpine River,2021,0.74792175,18515.533,40.39428679,GREEN,
Central,Eton,2019,1.05439477,25928.809,40.66499044,GREEN,
Central,Nogoa Mackenzie,2020,3.9601855,86794.55,45.62712175,GREEN,
North,Pioneer River,2023,0.52553612,10187.405,51.58684866,GREEN,
North,Burdekin Haughton,2020,33.21406875,612331.878,54.24193961,GREEN,
Burnett and Lower Mary,Upper Burnett Supply,2022,0.70880481,12783.199,55.44815582,GREEN,
South,Cunnamulla,2022,0.09670589,1715.886,56.35915789,GREEN,
North,Julius,2020,0.38015427,6705.109,56.69621031,GREEN,
Central,Eton,2021,0.97719454,17196.482,56.82525879,GREEN,
Burnett and Lower Mary,Three Moon Creek,2021,0.42125577,7394.782,56.96662457,GREEN,
Burnett and Lower Mary,Lower Mary River,2021,0.57176194,8744.251,65.38718296,GREEN,
North,Proserpine River,2022,0.61263935,9359.347,65.45748865,GREEN,
North,Burdekin Haughton,2022,31.65279317,483239.508,65.50125279,GREEN,
South,Border Rivers,2022,0.87881087,12748.219,68.93597215,GREEN,
Burnett and Lower Mary,Lower Mary River,2020,0.6200464,8986.964,68.99397839,GREEN,
North,Burdekin Haughton,2021,29.1738311,422468.064,69.0557076,GREEN,
Burnett and Lower Mary,Three Moon Creek,2020,0.56648497,8029.427,70.55110782,GREEN,
North,Mareeba Dimbulah,2023,4.89982107,68848.455,71.16820661,GREEN,
Burnett and Lower Mary,Three Moon Creek,2023,0.30674463,4284.74,71.5900218,GREEN,
North,Julius,2019,0.27410763,3715.536,73.77337482,,
Central,Eton,2023,0.80547424,10689.754,75.35011938,,
Burnett and Lower Mary,Bundaberg,2019,7.6483481,100689.885,75.95944816,,
North,Julius,2023,0.38613785,4564.908,84.58830934,,
Central,Lower Fitzroy,2021,1.41363207,16124.514,87.66974744,,
Central,Lower Fitzroy,2020,1.54694664,17420.493,88.80039388,,
