Fiscal Year,Region,Scheme,$/ML,Cost ($MM),Water (ML)
2020,Central,Awoonga Callide Pipeline,502.2812787,10183606.26,20274.708
2021,Central,Awoonga Callide Pipeline,460.3205963,8498209.61,18461.502
2022,Central,Awoonga Callide Pipeline,588.7341276,7434894.28,12628.611
2023,Central,Awoonga Callide Pipeline,1516.121709,6473416.7,4269.721
2024,Central,Awoonga Callide Pipeline,4676.320924,1959247.53,418.972
2020,Burnett and Lower Mary,Barker Barambah,92.05940338,599427.59,6511.313
2021,Burnett and Lower Mary,Barker Barambah,413.5646301,3317634.9,8022.047
2022,Burnett and Lower Mary,Barker Barambah,355.4587523,752623.48,2117.33
2023,Burnett and Lower Mary,Barker Barambah,37.43088737,433777.72,11588.764
2024,Burnett and Lower Mary,Barker Barambah,1.058188557,111227.85,105111.56
2020,South,Border Rivers,227.6397965,336595.26,1478.631
2021,South,Border Rivers,215.9205996,616964.18,2857.366
2022,South,Border Rivers,60.40826929,672791.3,11137.404
2023,South,Border Rivers,44.14949731,1458522.44,33035.992
2024,South,Border Rivers,18.18672957,170387.25,9368.768
2020,North,Bowen Broken,192.2283862,4168130.58,21683.221
2021,North,Bowen Broken,186.8245475,3475764.59,18604.432
2022,North,Bowen Broken,184.985684,3291007.42,17790.606
2023,North,Bowen Broken,177.1260795,2764771.78,15609.061
2024,North,Bowen Broken,41438.06689,1008561.11,24.339
2020,Burnett and Lower Mary,Boyne River & Tarong,786.2268765,12563779.69,15979.84
2021,Burnett and Lower Mary,Boyne River & Tarong,795.9832268,9819434.55,12336.233
2022,Burnett and Lower Mary,Boyne River & Tarong,447.2290794,8127069.64,18172.051
2023,Burnett and Lower Mary,Boyne River & Tarong,640.5730967,15367034.71,23989.51
2024,Burnett and Lower Mary,Boyne River & Tarong,22048.93433,1749560.89,79.349
2020,Burnett and Lower Mary,Bundaberg,44.6059837,12669155.15,284023.669
2021,Burnett and Lower Mary,Bundaberg,79.03036222,14696386.66,185958.741
2022,Burnett and Lower Mary,Bundaberg,136.07813,10101577.77,74233.661
2023,Burnett and Lower Mary,Bundaberg,141.1629081,12747073.7,90300.447
2024,Burnett and Lower Mary,Bundaberg,154.2203949,3343442.18,21679.637
2020,North,Burdekin Haughton,54.79885469,35826918,653789.54
2021,North,Burdekin Haughton,58.7738006,31224132.16,531259.368
2022,North,Burdekin Haughton,54.21580558,29082864.88,536427.792
2023,North,Burdekin Haughton,164.6520092,63138211.07,383464.565
2024,North,Burdekin Haughton,225.5043038,9382342.89,41606.048
2020,Burnett and Lower Mary,Burnett Water PL (External),,18826875.88,
2021,Burnett and Lower Mary,Burnett Water PL (External),,68056824.26,
2022,Burnett and Lower Mary,Burnett Water PL (External),,21705729.19,
2023,Burnett and Lower Mary,Burnett Water PL (External),,25349187.59,
2024,Burnett and Lower Mary,Burnett Water PL (External),,8949592.96,
2020,Burnett and Lower Mary,Burnett Water PL (Subsidiary),,29844122.28,
2021,Burnett and Lower Mary,Burnett Water PL (Subsidiary),,1590668.55,
2022,Burnett and Lower Mary,Burnett Water PL (Subsidiary),,650836.52,
2023,Burnett and Lower Mary,Burnett Water PL (Subsidiary),,849605.51,
2024,Burnett and Lower Mary,Burnett Water PL (Subsidiary),,213146.3,
2020,Central,Callide Valley,126.2126008,2006763.44,15899.866
2021,Central,Callide Valley,-18.49719359,-260547.27,14085.773
2022,Central,Callide Valley,758.6476382,8652277.69,11404.87
2023,Central,Callide Valley,378.857148,4173978.31,11017.288
2024,Central,Callide Valley,144.4478858,461949.25,3198.034
2020,South,Chinchilla Weir,1168.172559,3223512.6,2759.449
2021,South,Chinchilla Weir,1764.935609,3098926.89,1755.83
2022,South,Chinchilla Weir,3288.595209,3066246.71,932.388
2023,South,Chinchilla Weir,1571.058411,4155765.28,2645.201
2024,South,Chinchilla Weir,2378.508699,978580.32,411.426
2020,South,Cunnamulla,2.368533741,2417.11,1020.509
2021,South,Cunnamulla,17.48604854,43300.09,2476.265
2022,South,Cunnamulla,31.96031777,55730.9,1743.753
2023,South,Cunnamulla,563.1368186,524160.43,930.787
2024,South,Cunnamulla,16.30428811,2789.68,171.101
